"X","name","city","country","region","members","fullurl","created","past_events","upcoming_events","visibility","last_event"
818,"Data Science for Good, Aalen","Aalen","Germany","Europe",40,"https://www.meetup.com/Data-Science-for-Good-Aalen/","2019-07-12",4,0,"public","2019-10-10"
820,"Hands-on Data Science  Weekend with Dr Sulaimon Afolabi","Johannesburg","South Africa","Africa",95,"https://www.meetup.com/Hands-on-Data-Science-Weekend-with-Dr-Sulaimon-Afolabi/","2019-09-10",1,0,"public","2019-09-28"
824,"Hitchin Data Science Meetup Group","Hitchin","United Kingdom","Europe",39,"https://www.meetup.com/Hitchin-Data-Science-Meetup-Group/","2019-08-23",2,1,"public","2019-10-17"
854,"R-Ladies Puebla","Puebla","Mexico","Latin America",83,"https://www.meetup.com/rladies-puebla/","2019-07-19",3,0,"public","2019-11-23"
856,"R-Ladies Athens","Athens","USA","US/Canada",13,"https://www.meetup.com/rladies-athens-ga/","2019-08-31",1,1,"public","2019-09-27"
858,"R-Ladies Jakarta","Jakarta","Indonesia","Asia",305,"https://www.meetup.com/rladies-jakarta/","2019-07-06",5,0,"public","2019-11-30"
859,"R-Ladies Denver","Denver","USA","US/Canada",67,"https://www.meetup.com/rladies-denver/","2019-07-02",2,1,"public","2019-11-13"
860,"R-Ladies New Delhi","Delhi","India","Asia",119,"https://www.meetup.com/rladies-new-delhi/","2019-09-01",3,1,"public","2019-11-10"
862,"R-Ladies Vitória","Vitória","Brazil","Latin America",12,"https://www.meetup.com/rladies-vitoria/","2019-09-29",0,0,"public","1970-01-01"
881,"R-Ladies Pune","Pune","India","Asia",45,"https://www.meetup.com/rladies-pune/","2019-09-29",1,0,"public","2019-11-23"
882,"R-Ladies Lexington Park","Lexington Park","USA","US/Canada",8,"https://www.meetup.com/rladies-lexington-park/","2019-08-16",1,0,"public","2019-11-21"
883,"R-Ladies Cuernavaca","Cuernavaca","Mexico","Latin America",85,"https://www.meetup.com/rladies-cuernavaca/","2019-08-15",1,0,"public","2019-10-21"
885,"R-Ladies Ankara","Ankara","Turkey","Europe",298,"https://www.meetup.com/rladies-ankara/","2019-07-01",2,0,"public","2019-11-30"
888,"R-Ladies Calgary","Calgary","Canada","US/Canada",41,"https://www.meetup.com/rladies-calgary/","2019-09-14",0,1,"public","1970-01-01"
889,"R-Ladies Podgorica","Podgorica","Montenegro","Europe",13,"https://www.meetup.com/rladies-podgorica/","2019-09-18",1,0,"public","2019-10-03"
898,"R-Ladies Lagos","Lagos","Nigeria","Africa",134,"https://www.meetup.com/rladies-lagos/","2019-08-16",1,1,"public","2019-09-21"
899,"R-Ladies Medellín","Medellín","Colombia","Latin America",102,"https://www.meetup.com/rladies-medellin/","2019-09-28",1,0,"public","2019-11-08"
900,"R-Ladies Pachuca","Pachuca","Mexico","Latin America",6,"https://www.meetup.com/rladies-pachuca/","2019-09-15",0,0,"public","1970-01-01"
